Sat Jun  1 18:32:56 2013	94	Document One	Clap	Breakdown EP
Sat Jun  1 18:37:58 2013	99	Symbl	Sonic Beatdown	n/a
Sat Jun  1 18:41:54 2013	96	Author	Drain	Author
Sat Jun  1 18:50:00 2013	91	Dubtro	Horrid Murk	Forgot Past Storage EP
Sat Jun  1 18:56:15 2013	90	Spectrasoul	Knuckle Waltz	n/a
Sat Jun  1 18:59:15 2013	90	Davehoax	Moths	The Compilation 2012
Sat Jun  1 19:05:14 2013	99	Icicle	Need A Job	BNC EP
Sat Jun  1 19:10:14 2013	93	Flux Pavilion	Got 2 Know	Circus One Pres. By: Dr P & Flux Pavilion
Sat Jun  1 19:15:47 2013	96	Psymbionic	Ride With Me (Truth Remix)	Ride With Me
Sat Jun  1 19:20:15 2013	92	Crissy Criss	Let Go (L Plus Drumstep Mix)	Let Go EP
Sat Jun  1 19:24:24 2013	91	Phutureprimitive	Xotica	Kinetik
Sat Jun  1 19:29:16 2013	85	J.Rabbit	OG Fresh	n/a
Sat Jun  1 19:34:39 2013	82	Bassnectar	Boomerang	Divergent Spectrum
Sat Jun  1 19:38:35 2013	81	Mimi Page	New (Phrenik Remix)	Harmonious HeartBEATS
Sat Jun  1 19:43:21 2013	80	Flinch, Heather Bright	Light It Up feat. Heather Bright	n/a
Sat Jun  1 19:48:23 2013	73	Perverse	Cerberus	Genocide EP
Sat Jun  1 19:53:23 2013	79	Kulture	Mako Energy	Getdarker Presents This Is Dubstep 3
Sat Jun  1 19:57:35 2013	85	Quartus Saul	Los Angeles (Tim Ismag Remix)	More Heroes
Sat Jun  1 20:01:25 2013	76	K-lone	Rapid Eye Movement (Rem) (Orig	n/a
Sat Jun  1 20:05:14 2013	85	Tantrum Desire	Guided Rhythm (Dubstep Mix)	Tantrum Desire - Guided Rhythm
Sat Jun  1 20:08:54 2013	88	Seven	Evolution	Evolution
Sat Jun  1 20:14:23 2013	89	Pretty Lights	Easy Way Out	Making Up A Changing Mind
Sat Jun  1 20:20:06 2013	87	Sinister Souls	Caution	n/a
Sat Jun  1 20:26:09 2013	88	Mr. Projectile	Love Here (Bassnectar Remix)	Cozza Frenzy
Sat Jun  1 20:32:35 2013	87	Pinch	Punisher	10 Tons Heavy
Sat Jun  1 20:36:55 2013	94	Truth, Dutty Ranks	Birds	Full Baked / Birds
Sat Jun  1 20:41:40 2013	88	Syndaesia	Glow Worm	n/a
Sat Jun  1 20:46:05 2013	81	Minus, Beezy, Eddie K	Activate Feat. Beezy	Activate / Dark Ages
Sat Jun  1 20:50:35 2013	79	Vodex	Generation Monsters	Generation Monsters EP
Sat Jun  1 20:54:44 2013	75	Ecto	Keep It Up	First Strike
