Mon Jul  1 19:35:46 2013	74	Kryptic Minds	Askum	Askum / When Two Paths Cross
Mon Jul  1 19:41:10 2013	73	Me&john	Tell Me (Feat, Lisa Lobsinger)	n/a
Mon Jul  1 19:46:24 2013	70	Fleck & Fish Finger	Rude Profile	Generation Bass Presents Transnational Dubstep
Mon Jul  1 19:50:24 2013	74	Current Value	Walker Bot (Welcome Back)	Hunting Down / Walker Bot
Mon Jul  1 19:55:59 2013	71	Gladkill, Mimi Page	The Night And The Skyline Ft. Mimi Page Feat. Mimi Page (Origin	n/a
Mon Jul  1 20:00:34 2013	73	Nicky Romero, Avicii	I Could Be The One (Dank (Usa)	n/a
Mon Jul  1 20:05:35 2013	79	Benga	Transformers	Transformers / Shake it
Mon Jul  1 20:10:35 2013	77	Protohype, Kezwik	Menace	See No Evil
Mon Jul  1 20:14:35 2013	73	Vaski	You Wouldn't Understand	n/a
Mon Jul  1 20:20:11 2013	73	Zomboy	Mind Control	Never Say Die Vol. 2
Mon Jul  1 20:23:57 2013	74	Skrillex	Right In	Bangarang EP
Mon Jul  1 20:26:58 2013	76	FS	Swings Joint	Half Android
Mon Jul  1 20:31:14 2013	81	2562, Pattie Blingh	Brother The Point (2562 Remix)	Brother : The Point
Mon Jul  1 20:35:57 2013	75	Document One	Clap	Breakdown EP
Mon Jul  1 20:40:58 2013	77	Excision, Space Laces	Destroid 7 Bounce (Original Mi	n/a
Mon Jul  1 20:45:11 2013	77	Bassnectar	The Churn Of The Century	Cozza Frenzy
Mon Jul  1 20:48:59 2013	75	M Machine	The Palace Feat. Blake Hazard	Metropolis Pt. II
Mon Jul  1 20:54:23 2013	68	Flux Pavilion	Voscillate (Roksonix Remix)	Circus One Pres. By: Dr P & Flux Pavilion
Mon Jul  1 21:00:10 2013	70	Goldie	Kemistry (Justin Martin Remake)	Ghettos & Gardens
Mon Jul  1 21:05:23 2013	67	Dubtro	Forgot Past Storage (Original	n/a
Mon Jul  1 21:11:35 2013	68	Rackn Ruin	Dazed & Confused Feat. Janai & Illaman (Ski Sm's Baroque Out Re	n/a
Mon Jul  1 21:16:11 2013	65	Filmi	Hinduistics ((Fs Remix))	dimmSummer presents: Sub Continental Bass
Mon Jul  1 21:20:23 2013	63	JaFU	Lone Kimono	Add To Cart
Mon Jul  1 21:23:56 2013	62	Perverse	Cerberus	Genocide EP
Mon Jul  1 21:28:59 2013	63	Chase & Status	Eastern Jam	Getdarker Presents This Is Dubstep 2
Mon Jul  1 21:32:58 2013	69	Joker	The Vision (Breathe In) Feat. Jessie Ware	The Vision
Mon Jul  1 21:37:33 2013	66	Nostalgia	The Hero	The Hero
Mon Jul  1 21:40:58 2013	64	Kraddy	Android Porn	Android Porn b-w Steppin' Razor
Mon Jul  1 21:47:57 2013	64	Cluekid	Hovercraft	Swarf Pot - Transition Dubstep
Mon Jul  1 21:52:46 2013	62	Skream	Memories Of 3rd Base	Getdarker Presents This Is Dubstep 2
Mon Jul  1 21:57:35 2013	57	Cyrus	Nostalgia	Nostalgia / Rupture
Mon Jul  1 22:02:57 2013	64	Nero	Innocence	Getdarker Presents This Is Dubstep 3
Mon Jul  1 22:08:10 2013	59	Rusko	Somebody To Love (Skream Remix)	Somebody To Love (Skream Remix)
Mon Jul  1 22:13:57 2013	63	Jumpshot	The Raw Uncut	The Raw Uncut EP
Mon Jul  1 22:17:59 2013	59	Spectrasoul	Ish Chat	Delay No More
Mon Jul  1 22:20:24 2013	62	Davr, Helicopter Showdown	This Sound	This Sound
Mon Jul  1 22:24:23 2013	59	Rob Sparx	Casino	Getdarker Presents This Is Dubstep 2
Mon Jul  1 22:28:59 2013	61	Droid Sector	Sarcophagus	Catharsis / Sarcophagus
Mon Jul  1 22:33:34 2013	57	Bare	Bring It Back	Bring It Back / Thugs In The Hood
Mon Jul  1 22:39:23 2013	62	Benga	Electro Scratch	Swarf Pot - Transition Dubstep
Mon Jul  1 22:43:58 2013	64	Soulstice	Changes (Marty Party Remix)	Changes (Promo Only Single)
Mon Jul  1 22:47:45 2013	68	Noisia	Machine Gun (16 Bit Remix)	Split The Atom: Special Edition
Mon Jul  1 22:53:21 2013	64	Perverse	Mutiny	Genocide EP
Mon Jul  1 22:58:22 2013	70	Sponge Bandits	Invade	My World
Mon Jul  1 23:02:23 2013	69	Rumpistol, Red Baron	Colors Breaking	Floating
Mon Jul  1 23:06:10 2013	69	Somaaa	Plot Twist	To Deadmau5, Mstrkrft, Bloody Beetroots, And Other Awesome People
Mon Jul  1 23:09:11 2013	72	Kryptic Minds	When Two Paths Cross (Original	n/a
Mon Jul  1 23:14:46 2013	67	Dubtro	Dark Humans	The Compilation 2012
Mon Jul  1 23:20:36 2013	68	Doctor P	Gargoyle	Getdarker Presents This Is Dubstep 3
Mon Jul  1 23:24:10 2013	68	Excision, Datsik	Swagga	Swagga / Invaders
Mon Jul  1 23:29:25 2013	75	Tipper	Off Kilter	Wobble Factor
