Fri Feb  1 08:36:29 2013	51	Bigwig	War Ensemble	n/a
Fri Feb  1 08:41:39 2013	48	Helmet	Army Of Me	n/a
Fri Feb  1 08:45:58 2013	45	H.I.M.	Wicked Game	Razorblade Romance [Bonus Tracks]
Fri Feb  1 08:49:59 2013	50	Spiderbait	Black Betty	Tonight Alright
Fri Feb  1 08:54:16 2013	50	Ghoti Hook	The Invisible Man	Songs We Didn't Write
Fri Feb  1 08:56:15 2013	49	Stevenson	I Love My Lips	n/a
Fri Feb  1 09:00:21 2013	49	Mudhoney	Pump It Up	March To Fuzz
Fri Feb  1 09:03:17 2013	49	Placebo	20th Century Boy	Velvet Goldmine
Fri Feb  1 09:06:50 2013	53	Vika Yermolyeva	Symphony Of Destruction	n/a
Fri Feb  1 09:10:46 2013	46	Kim Wilde	You Keep Me Hangin' On	Very Best Of Kim Wilde [Emi]
Fri Feb  1 09:14:47 2013	53	Colin Meloy	Barbara Allen	Colin Meloy Sings trad. arr. Shirley Collins
Fri Feb  1 09:19:03 2013	49	Me First And The Gimme Gimmes	Strawberry Fields Forever	Ruin Jonny's Bar Mitzvah
Fri Feb  1 09:20:43 2013	50	Ryan Adams	Dead Leaves And The Dirty Ground	n/a
Fri Feb  1 09:23:48 2013	49	Goldfinger	You Say You Don't Love Me	Darrin's Coconut Ass: Live
Fri Feb  1 09:26:10 2013	49	Andrew Bird	The Giant Of Illinois	Dark Was The Night
Fri Feb  1 09:31:05 2013	45	Pat Boone	Enter Sandman	In a Metal Mood: No More Mr. Nice Guy
Fri Feb  1 09:34:54 2013	51	Antony & The Johnsons	Knockin' On Heaven's Door	I'm Not There [Disc 2]
Fri Feb  1 09:38:53 2013	47	Any Trouble	The Name Of The Game (Live)	Girls Are Always Right: The Stiff Years
Fri Feb  1 09:42:51 2013	50	Doveman	Never	n/a
Fri Feb  1 09:46:56 2013	57	Elvis Costello	(What's So Funny About) Peace,	n/a
Fri Feb  1 09:50:23 2013	58	Ben Gibbard	Joga	n/a
Fri Feb  1 09:53:17 2013	57	Ben Lee	Thrash Unreal	n/a
Fri Feb  1 09:57:22 2013	56	Amii Stewart	Knock On Wood	Pure Disco [Polygram]
Fri Feb  1 10:01:14 2013	56	Supersuckers	Breaking The Law	Good Livin' Platter
Fri Feb  1 10:04:23 2013	57	Manic Street Preachers	Suicide Is Painless {Theme Fro	Forever Delayed: The Greatest Hits
Fri Feb  1 10:08:05 2013	57	Shinehead	Billie Jean	Back To Mine
Fri Feb  1 10:11:14 2013	55	Neil Young	All Along The Watchtower	Road Rock, Vol. 1: Friends & Relatives
Fri Feb  1 10:17:24 2013	60	Bonnie Prince Billy	I've Seen It All	Indie/Rock Playlist: December (2007)
Fri Feb  1 10:20:56 2013	56	Bedlight For Blue Eyes	Jumper	n/a
Fri Feb  1 10:24:50 2013	55	Saints	Security	Songs Of Salvation 1976-1988
Fri Feb  1 10:26:56 2013	54	Angelic Upstarts	We Gotta Get Out Of This Place	Punk Singles Collection
Fri Feb  1 10:30:57 2013	54	Disturbed	Shout 2000	Sickness
Fri Feb  1 10:35:06 2013	58	Warp Brothers	Smells Like Teen Spirit	Live in Sydney 2005
Fri Feb  1 10:41:26 2013	59	Colin Meloy	Dance To Your Daddy	Colin Meloy Sings trad. arr. Shirley Collins
Fri Feb  1 10:43:41 2013	60	Tori Amos	Real Men	Strange Little Girls
Fri Feb  1 10:47:43 2013	62	Josh Rouse	Chloe Dancer (Mother Love Bone)	n/a
Fri Feb  1 10:50:42 2013	60	Black Keys	The Wicked Messenger	n/a
Fri Feb  1 10:54:27 2013	60	Megadeth	No More Mr. Nice Guy	Hidden Treasures
Fri Feb  1 10:57:28 2013	50	Easy Star All-Stars	Exit Music (For A Dub)	Radiodread [Vinyl]
Fri Feb  1 11:01:54 2013	52	Beach House	Play The Game	n/a
Fri Feb  1 11:05:45 2013	51	Ben Folds	Get Your Hands Off My Woman	Supersunnyspeedgraphic - The LP
Fri Feb  1 11:09:15 2013	52	Reunited	Sun Is Shining	n/a
Fri Feb  1 11:16:40 2013	58	Betty Carter	I'm Wishing	Stay Awake (disney covers)
Fri Feb  1 11:20:57 2013	55	Aerosmith	Remember (Walking In The Sand)	Greatest Hits
Fri Feb  1 11:24:49 2013	55	Dirty Projectors	Rise Above	Rise Above
Fri Feb  1 11:29:48 2013	58	Aarktica	Am I Demon	In Sea
Fri Feb  1 11:35:28 2013	56	Wilco	I Shall Be Released (Feat. Fleet Foxes)	n/a
Fri Feb  1 11:39:05 2013	53	Ataris	Boys Of Summer	So Long Astoria
Fri Feb  1 11:43:06 2013	56	Dwight Yoakam	Suspicious Minds	Honeymoon In Vegas
Fri Feb  1 11:46:35 2013	56	Seth Avett	Mary	n/a
Fri Feb  1 11:49:12 2013	55	Sia	Paranoid Android	n/a
Fri Feb  1 11:54:52 2013	60	John Lennon	Slippin' And Slidin'	Rock 'n' Roll
Fri Feb  1 11:57:24 2013	57	Hellacopters	All American Man	Cream of the Crap 2
Fri Feb  1 12:00:58 2013	57	Karen Souza	Creep	Vintage Cafi - Lounge & Jazz Blends
Fri Feb  1 12:04:16 2013	60	Matchbox 20	Never Going Back Again	Tribute To Fleetwood Mac
Fri Feb  1 12:08:01 2013	62	Colin Meloy	Jack The Ripper	n/a
Fri Feb  1 12:11:34 2013	63	Me First And The Gimme Gimmes	Over The Rainbow	Are a Drag
Fri Feb  1 12:13:04 2013	63	Billy Bragg	When Will I See You Again	Must I Paint You A Picture - Ltd Ed
Fri Feb  1 12:15:55 2013	64	Front & Centre	Heart Of Glass	n/a
Fri Feb  1 12:19:51 2013	60	Cranberries	In The Ghetto	Wake Up and Smell the Coffee
Fri Feb  1 12:22:27 2013	61	Lene Lovich	I Think We're Alone Now	Lucky Number: The Best Of Lene Lovitch
Fri Feb  1 12:25:07 2013	64	Mimi Page	Love Will Tear Us Apart	n/a
Fri Feb  1 12:28:32 2013	65	Vika Yermolyeva	Whereever I May Roam	n/a
Fri Feb  1 12:34:20 2013	63	Revolution 409	Crazy Horses	Duck And Cover
Fri Feb  1 12:36:42 2013	64	Johnny Cash	One	American Iii: Solitary Man
Fri Feb  1 12:40:29 2013	66	Jimi Hendrix Experience	All Along The Watchtower	The Rolling Stone Magazines 500 Greatest Songs Of All Time
Fri Feb  1 12:44:28 2013	64	H.I.M.	(Don't Fear) The Reaper	Greatest Lovesongs Vol. 666
Fri Feb  1 12:50:43 2013	63	Urge Overkill	Girl, You'll Be A Woman Soon	This Is...Son Of Cult Fiction
Fri Feb  1 12:53:41 2013	69	Senyyor Coconut	Smoke On The Water (Chachacha)	n/a
Fri Feb  1 12:58:24 2013	65	Pretenders	Everyday Is Like Sunday	Boys On The Side ~ Original Soundtrack Album
Fri Feb  1 13:01:47 2013	63	Smashing Pumpkins	Dancing In The Moonlight	Unplugged
Fri Feb  1 13:05:48 2013	65	Mike Ness	Big Iron	Under The Influences
Fri Feb  1 13:10:15 2013	68	Kronos Quartet	Dark Was The Night	Dark Was The Night
Fri Feb  1 13:14:09 2013	64	Sid Vicious	My Way	Sid Sings
Fri Feb  1 13:17:59 2013	68	311	Love Song	50 First Dates
Fri Feb  1 13:21:25 2013	65	Me First And The Gimme Gimmes	Science Fiction Double Feature	Are a Drag
Fri Feb  1 13:23:55 2013	65	Nouvelle Vague	Waves	Bande a Part
Fri Feb  1 13:26:56 2013	65	Eldar Djangirov	Nature Boy	Eldar
Fri Feb  1 13:31:55 2013	61	Bob Forrest	Moonshiner	I'm Not There [Disc 2]
Fri Feb  1 13:36:44 2013	63	George Michael	I Can't Make You Love Me	Ladies & Gentlemen: The Best of George Michael
Fri Feb  1 13:42:16 2013	54	Dr. Evil	Just The Two Of Us	n/a
Fri Feb  1 13:43:54 2013	56	Krokus	Ballroom Blitz	Blitz
Fri Feb  1 13:47:56 2013	53	Jack Johnson	Badfish, Boss Dj	n/a
Fri Feb  1 13:50:54 2013	54	Ben Lee	Borne On The Fm Waves Of The Heart	n/a
Fri Feb  1 13:54:57 2013	51	Right Away, Great Captain	Me And Julio Down By The Schoolyard	n/a
Fri Feb  1 13:57:00 2013	52	Reel Big Fish	Take On Me	Baseketball
Fri Feb  1 13:59:55 2013	52	First Aid Kit	Tiger Mountain Peasant Song (F	n/a
Fri Feb  1 14:02:48 2013	54	Ramones	Time Has Come Today	Subterranean Jungle [Expanded]
Fri Feb  1 14:07:13 2013	51	All Time Low	Umbrella	Punk Goes Crunk
Fri Feb  1 14:10:56 2013	51	Easy Star All-Stars	No Surprises (Feat. The Meditations)	Radiodread [Vinyl]
Fri Feb  1 14:14:48 2013	51	Elvis Costello	She	The Very Best Of Elvis Costello
Fri Feb  1 14:18:16 2013	50	Placebo	Bigmouth Strikes Again	Sleeping With Ghosts [Bonus Cd]
Fri Feb  1 14:21:35 2013	46	Audio Adrenaline	The Hairbrush Song	n/a
Fri Feb  1 14:26:34 2013	50	Me First And The Gimme Gimmes	I Am A Rock	Have a Ball
Fri Feb  1 14:28:34 2013	49	Nazareth	Love Hurts	Power Ballads
Fri Feb  1 14:32:18 2013	49	Colour Revolt	These Few Presidents	n/a
Fri Feb  1 14:35:31 2013	48	Jonny Lang	I Am	Wander This World
Fri Feb  1 14:40:22 2013	47	Rico And The Prosthetics	Take Me Out	n/a
Fri Feb  1 14:43:21 2013	48	Eric Clapton	I Shot The Sheriff	461 Ocean Boulevard
